@relation BOOKKEEPER5

@attribute 'Version Number' {4.2.1}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute Bugginess {No,Yes}

@data
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
4.2.1,0,0,0,0,0,0,0,0,0,No
